,dates
984,05-08-1958
985,06-08-1958
986,07-08-1958
987,08-08-1958
988,09-08-1958
989,11-08-1958
990,12-08-1958
991,13-08-1958
992,14-08-1958
993,15-08-1958
994,16-08-1958
995,18-08-1958
996,19-08-1958
997,20-08-1958
998,21-08-1958
999,22-08-1958
1000,23-08-1958
1001,25-08-1958
1002,26-08-1958
1003,27-08-1958
1004,28-08-1958
1005,29-08-1958
1006,30-08-1958
1007,01-09-1958
1008,02-09-1958
1009,03-09-1958
1010,04-09-1958
1011,05-09-1958
1012,06-09-1958
1013,08-09-1958
1014,09-09-1958
1015,10-09-1958
1016,11-09-1958
1017,12-09-1958
1018,13-09-1958
1019,15-09-1958
1020,16-09-1958
1021,17-09-1958
1022,18-09-1958
1023,19-09-1958
1024,20-09-1958
1025,22-09-1958
1026,23-09-1958
1027,24-09-1958
1028,25-09-1958
1029,26-09-1958
1030,27-09-1958
1031,29-09-1958
1032,30-09-1958
1033,01-10-1958
1034,02-10-1958
1035,03-10-1958
1036,04-10-1958
1037,06-10-1958
1038,07-10-1958
1039,08-10-1958
1040,09-10-1958
1041,10-10-1958
1042,11-10-1958
1043,13-10-1958
1044,14-10-1958
1045,15-10-1958
1046,16-10-1958
1047,17-10-1958
1048,18-10-1958
1049,20-10-1958
1050,21-10-1958
1051,22-10-1958
1052,23-10-1958
1053,24-10-1958
1054,25-10-1958
1055,27-10-1958
1056,28-10-1958
1057,29-10-1958
1058,30-10-1958
1059,31-10-1958
1060,01-11-1958
1061,03-11-1958
1062,04-11-1958
1063,05-11-1958
1064,06-11-1958
1065,07-11-1958
1066,08-11-1958
1067,10-11-1958
1068,11-11-1958
1069,12-11-1958
1070,13-11-1958
1071,14-11-1958
1072,15-11-1958
1073,17-11-1958
1074,18-11-1958
1075,19-11-1958
1076,20-11-1958
1077,21-11-1958
1078,22-11-1958
1079,24-11-1958
1080,25-11-1958
1081,26-11-1958
1082,27-11-1958
1083,28-11-1958
1084,29-11-1958
1085,01-12-1958
1086,02-12-1958
1087,03-12-1958
1088,04-12-1958
1089,05-12-1958
1090,06-12-1958
1091,08-12-1958
1092,09-12-1958
1093,10-12-1958
1094,11-12-1958
1095,12-12-1958
1096,13-12-1958
1097,15-12-1958
1098,16-12-1958
1099,17-12-1958
1100,18-12-1958
1101,19-12-1958
1102,20-12-1958
1103,22-12-1958
1104,23-12-1958
1105,24-12-1958
1106,27-12-1958
1107,29-12-1958
1108,30-12-1958
1109,31-12-1958
1110,02-01-1959
1111,03-01-1959
1112,05-01-1959
1113,06-01-1959
1114,07-01-1959
1115,08-01-1959
1116,09-01-1959
1117,10-01-1959
1118,12-01-1959
1119,13-01-1959
1120,14-01-1959
1121,15-01-1959
1122,16-01-1959
1123,17-01-1959
1124,19-01-1959
1125,20-01-1959
1126,21-01-1959
1127,22-01-1959
1128,23-01-1959
1129,24-01-1959
1130,26-01-1959
1131,27-01-1959
1132,28-01-1959
1133,29-01-1959
1134,30-01-1959
1135,31-01-1959
1136,02-02-1959
1137,03-02-1959
1138,04-02-1959
1139,05-02-1959
1140,06-02-1959
1141,07-02-1959
